%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.080000          -88.207       29.2120      293.3774       -5.9991       -3.7835       0.65381        83.975        3.5727        2.8116        2.8116        2.3897        85.000
20120826.080000          -94.000       22.2030     3498.4778       -5.7069       -1.8781       0.57451        74.091        3.9299        2.7762        2.7762        2.3681        45.000
20120826.080000          -84.857       19.8020     4540.7300        1.2029       -6.0007       0.79538         8.533        5.7538        3.4625        3.4625        2.8561        15.000
20120826.090000          -89.658       25.8880     3176.6836       -5.9202       -4.5947       0.89218        71.287        4.7552        3.4408        3.4408        2.9480        85.000
20120826.090000          -93.666       25.7900     3211.0347       -6.3907       -1.0032       0.68280       109.149        3.9299        3.0504        3.0504        2.5971       105.000
20120826.090000          -85.612       26.0440     3278.5854       -7.4377      -10.1353       2.17470        50.426        6.3292        5.1883        5.1883        4.6427        55.000
20120826.090000          -87.555       30.0650       24.8846       -5.3913       -3.2197       0.51387       100.484        3.5727        2.6205        2.6205        2.2329       105.000
20120826.090000          -96.695       26.9660       85.1907       -3.1054        1.3304       0.29748       136.444        3.5727        2.6100        2.6100        2.2358       135.000
20120826.090000          -94.413       29.2320       15.3785       -2.8110        0.3640       0.29873       154.884        3.5727        2.6604        2.6604        2.2945       165.000
20120826.090000          -84.517       28.5000       51.6082       -6.4862       -6.4850       0.98778        53.052        4.3229        3.4227        3.4227        2.9750        55.000
20120826.090000          -88.207       29.2120      293.3774       -6.2156       -4.0166       0.70619        80.500        3.9299        2.9290        2.9290        2.4963       105.000
20120826.090000          -94.000       22.2030     3498.4778       -5.7197       -1.6584       0.58507        71.437        3.9299        2.8332        2.8332        2.4169        45.000
20120826.090000          -84.857       19.8020     4540.7300        1.7522       -5.7320       0.87284         9.274        5.7538        3.7271        3.7271        3.0599         5.000
20120826.100000          -89.658       25.8880     3176.6836       -5.7642       -4.7579       0.92256        70.874        4.7552        3.5266        3.5266        2.9967        85.000
20120826.100000          -93.666       25.7900     3211.0347       -6.3328       -1.2103       0.68942       106.698        3.9299        3.0742        3.0742        2.6204       115.000
20120826.100000          -85.612       26.0440     3278.5854       -7.0033      -10.6502       2.26397        49.249        6.3292        5.3101        5.3101        4.7645        45.000
20120826.100000          -87.555       30.0650       24.8846       -5.5659       -3.4125       0.54921        94.375        3.5727        2.6646        2.6646        2.2652        95.000
20120826.100000          -96.695       26.9660       85.1907       -3.2077        1.2825       0.29886       135.605        3.5727        2.6568        2.6568        2.2780       135.000
20120826.100000          -94.413       29.2320       15.3785       -2.7247        0.1544       0.29976       155.466        3.5727        2.7237        2.7237        2.3565       165.000
20120826.100000          -84.517       28.5000       51.6082       -6.3864       -7.0298       1.04692        50.223        4.3229        3.5066        3.5066        3.0437        55.000
20120826.100000          -88.207       29.2120      293.3774       -6.4321       -4.2498       0.76574        78.917        3.9299        3.0555        3.0555        2.6049        95.000
20120826.100000          -94.000       22.2030     3498.4778       -5.7324       -1.4388       0.59842        69.255        3.9299        2.8716        2.8716        2.4308        45.000
20120826.100000          -84.857       19.8020     4540.7300        2.3015       -5.4632       0.94709         9.446        6.3292        3.9805        3.9805        3.2551         5.000
20120826.110000          -89.658       25.8880     3176.6836       -5.6082       -4.9210       0.96085        70.369        4.7552        3.6269        3.6269        3.0784        85.000
20120826.110000          -93.666       25.7900     3211.0347       -6.2750       -1.4174       0.69274       104.814        4.3229        3.0860        3.0860        2.6209       105.000
